path,suspicion,text_regions,rect_area,brightness,flagged
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0011_7534216.jpeg,0.1376,60,0.2064,0.483,0
data/probe_indoor_env_v2/probe_indoor_env/modern_lounge_interior_sofa_window/modern_lounge_interior_sofa_window_0009_19699765.jpeg,0.1365,119,0.0,0.499,0
data/probe_indoor_env_v2/probe_indoor_env/spa_wellness_center_interior_relaxation/spa_wellness_center_interior_relaxation_0010_7598359.jpeg,0.1365,119,0.0,0.436,0
data/raw/negative_clean/blank_television_screen_living_room/blank_television_screen_living_room_0015_6198652.jpeg,0.1353,118,0.0,0.557,0
data/raw/negative_clean/empty_projector_screen_white_wall/empty_projector_screen_white_wall_0001_7674215.jpeg,0.1353,59,0.5043,0.666,0
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0010_8389903.jpeg,0.1353,118,0.0,0.438,0
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0020_12270135.jpeg,0.1353,118,0.0,0.682,0
data/probe_indoor_env_v2/probe_indoor_env/spa_wellness_center_interior_relaxation/spa_wellness_center_interior_relaxation_0004_16571743.jpeg,0.1353,118,0.0,0.571,0
data/raw/negative_clean/turned_off_computer_monitor_desk/turned_off_computer_monitor_desk_0014_6044842.jpeg,0.1319,115,0.0,0.479,0
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0008_26523902.jpeg,0.1319,115,0.0,0.49,0
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0017_12884324.jpeg,0.1319,115,0.0,0.518,0
data/raw/negative_clean/movie_theater_empty_blank_screen_interior/movie_theater_empty_blank_screen_interior_0005_18501410.jpeg,0.1307,114,0.0,0.087,0
data/probe_indoor_env_v2/probe_indoor_env/public_library_reading_room_bookshelves/public_library_reading_room_bookshelves_0008_3747511.jpeg,0.1307,114,0.0,0.624,0
data/raw/negative_clean/empty_projector_screen_white_wall/empty_projector_screen_white_wall_0007_9300731.jpeg,0.1296,113,0.0,0.518,0
data/raw/negative_clean/home_cinema_projector_screen_room/home_cinema_projector_screen_room_0005_19374140.jpeg,0.1296,113,0.0,0.354,0
data/raw/negative_clean/empty_whiteboard_meeting_room/empty_whiteboard_meeting_room_0017_6103651.jpeg,0.1284,112,0.0,0.608,0
data/probe_indoor_env_v2/probe_indoor_env/spa_wellness_center_interior_relaxation/spa_wellness_center_interior_relaxation_0002_7233268.jpeg,0.1284,56,0.4422,0.691,0
data/raw/negative_clean/empty_conference_room_interior/empty_conference_room_interior_0017_8354765.jpeg,0.1273,111,0.0,0.569,0
data/raw/negative_clean/blank_whiteboard_office_wall/blank_whiteboard_office_wall_0013_5474425.jpeg,0.1261,110,0.0,0.724,0
data/raw/negative_clean/blank_whiteboard_office_wall/blank_whiteboard_office_wall_0016_7363.jpg,0.1261,110,0.0,0.804,0
data/probe_indoor_env_v2/probe_indoor_env/spa_wellness_center_interior_relaxation/spa_wellness_center_interior_relaxation_0008_6663573.jpeg,0.1261,110,0.0,0.537,0
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0012_28122113.jpeg,0.125,109,0.0,0.359,0
data/raw/negative_clean/blank_whiteboard_office_wall/blank_whiteboard_office_wall_0017_7654493.jpeg,0.1239,108,0.0,0.653,0
data/raw/negative_clean/blank_television_screen_living_room/blank_television_screen_living_room_0020_7546717.jpeg,0.1239,108,0.0,0.592,0
data/raw/negative_clean/modern_home_living_room_sunlight_window/modern_home_living_room_sunlight_window_0024_6077368.jpeg,0.1239,108,0.0,0.707,0
data/probe_indoor_env_v2/probe_indoor_env/office_reception_waiting_area_sofa/office_reception_waiting_area_sofa_0001_26346229.jpeg,0.1239,54,0.3593,0.47,0
data/raw/negative_clean/blank_whiteboard_office_wall/blank_whiteboard_office_wall_0008_4792491.jpeg,0.1216,53,0.5138,0.578,0
data/raw/negative_clean/cozy_home_interior_sofa_bright/cozy_home_interior_sofa_bright_0012_8089155.jpeg,0.1216,106,0.0,0.483,0
data/raw/negative_clean/empty_projector_screen_white_wall/empty_projector_screen_white_wall_0008_34002266.jpeg,0.1204,105,0.0,0.103,0
data/raw/negative_clean/empty_whiteboard_meeting_room/empty_whiteboard_meeting_room_0012_6794968.jpeg,0.1193,104,0.0,0.511,0
data/raw/negative_clean/turned_off_computer_monitor_desk/turned_off_computer_monitor_desk_0002_9300770.jpeg,0.1193,104,0.0,0.474,0
data/probe_indoor_env_v2/probe_indoor_env/office_reception_waiting_area_sofa/office_reception_waiting_area_sofa_0006_19786710.jpeg,0.1193,104,0.0,0.447,0
data/raw/negative_clean/white_screen_wall_mounted_conference_room/white_screen_wall_mounted_conference_room_0004_260689.jpeg,0.1181,103,0.0,0.71,0
data/raw/negative_clean/white_screen_wall_mounted_conference_room/white_screen_wall_mounted_conference_room_0007_6794937.jpeg,0.117,102,0.0,0.407,0
data/probe_indoor_env_v2/probe_indoor_env/office_reception_waiting_area_sofa/office_reception_waiting_area_sofa_0009_6899531.jpeg,0.117,102,0.0,0.728,0
data/raw/negative_clean/blank_television_screen_living_room/blank_television_screen_living_room_0018_1201996.jpeg,0.1158,101,0.0,0.562,0
data/raw/negative_clean/cozy_home_interior_sofa_bright/cozy_home_interior_sofa_bright_0001_8089172.jpeg,0.1147,100,0.0,0.561,0
data/raw/negative_clean/turned_off_computer_monitor_desk/turned_off_computer_monitor_desk_0012_6044821.jpeg,0.1124,98,0.0,0.516,0
data/raw/negative_clean/empty_office_desks_no_people/empty_office_desks_no_people_0007_9068384.jpeg,0.1124,98,0.0,0.481,0
data/probe_indoor_env_v2/probe_indoor_env/empty_waiting_room_chairs_interior/empty_waiting_room_chairs_interior_0010_12734857.jpeg,0.1124,98,0.0,0.658,0
data/raw/negative_clean/cozy_home_interior_sofa_bright/cozy_home_interior_sofa_bright_0016_17586950.jpeg,0.1112,97,0.0,0.489,0
data/raw/negative_clean/blank_whiteboard_office_wall/blank_whiteboard_office_wall_0010_8123797.jpeg,0.1101,96,0.0,0.61,0
data/raw/negative_clean/blank_television_screen_living_room/blank_television_screen_living_room_0002_37834298.jpeg,0.1101,48,0.118,0.78,0
data/raw/negative_clean/blank_television_screen_living_room/blank_television_screen_living_room_0012_19866446.jpeg,0.1101,48,0.0858,0.522,0
data/raw/negative_clean/empty_living_room_interior_daylight/empty_living_room_interior_daylight_0010_7031603.jpeg,0.1101,48,0.2974,0.611,0
data/raw/negative_clean/empty_living_room_interior_daylight/empty_living_room_interior_daylight_0018_6835102.jpeg,0.1101,48,0.2364,0.693,0
